Timestamp,Device ID,Channel,Sensor Name,Sensor ID,Data Type,Unit,Value
2021-03-30T13:01:01.174Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,24.299999237060547
2021-03-30T13:01:00.969Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,285
2021-03-30T13:01:00.968Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,44.29999923706055
2021-03-30T13:00:22.936Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,43.099998474121094
2021-03-30T13:00:22.855Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,24.799999237060547
2021-03-30T13:00:22.301Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,285
2021-03-30T13:00:21.923Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,43.099998474121094
2021-03-30T13:00:21.848Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,24.799999237060547
2021-03-30T13:00:20.637Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,24.899999618530273
2021-03-30T13:00:20.629Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,43.20000076293945
2021-03-30T13:00:20.629Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,283
2021-03-30T13:00:19.641Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,284
2021-03-30T13:00:19.619Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,43.20000076293945
2021-03-30T13:00:19.554Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,24.899999618530273
